     2,   4,   3, 214.07,  96.34, 214.24,  96.40
     2,   4,   2, 245.05,  96.68, 245.15,  96.58
     2,   4,   1, 276.45,  96.35, 276.36,  96.25
     2,   4,   0, 309.63,  96.29, 309.58,  96.22
     2,   3,   9,  29.49, 127.86,  29.29, 127.75
     2,   3,   8,  61.66, 127.86,  61.65, 127.81
     2,   3,   7,  93.39, 127.26,  93.45, 127.37
     2,   3,   6, 122.82, 127.75, 123.06, 127.84
     2,   3,   5, 153.25, 127.41, 153.26, 127.32
     2,   3,   4, 183.11, 128.01, 183.24, 127.94
     2,   3,   3, 214.17, 127.54, 214.27, 127.61
     2,   3,   2, 244.57, 128.58, 244.71, 128.54
     2,   3,   1, 276.69, 128.26, 276.79, 128.30
     2,   3,   0, 309.39, 128.93, 309.42, 128.88
     2,   2,   9,  29.14, 160.10,  28.97, 160.06
     2,   2,   8,  61.41, 159.83,  61.28, 159.81
     2,   2,   7,  93.60, 158.95,  93.53, 158.93
     2,   2,   6, 122.67, 159.47, 122.82, 159.51
     2,   2,   5, 153.30, 158.62, 153.19, 158.83
     2,   2,   4, 183.31, 159.44, 183.41, 159.50
     2,   2,   3, 214.54, 159.11, 214.73, 159.18
     2,   2,   2, 244.95, 160.31, 245.08, 160.33
     2,   2,   1, 277.08, 160.44, 277.31, 160.69
     2,   2,   0, 309.56, 161.44, 309.70, 161.60
     2,   1,   9,  28.10, 192.65,  28.07, 192.65
     2,   1,   8,  60.80, 191.85,  60.58, 191.86
     2,   1,   7,  93.44, 190.62,  93.44, 190.79
     2,   1,   6, 122.55, 190.64, 122.58, 190.87
     2,   1,   5, 153.41, 190.09, 153.45, 190.30
     2,   1,   4, 183.38, 190.75, 183.49, 190.89
     2,   1,   3, 214.95, 190.69, 215.03, 190.82
     2,   1,   2, 245.82, 192.28, 245.80, 192.20
     2,   1,   1, 278.27, 192.85, 278.43, 192.86
     2,   1,   0, 310.23, 194.59, 310.52, 194.64
     2,   0,   9,  26.74, 225.89,  26.63, 226.14
     2,   0,   8,  59.65, 224.58,  59.66, 224.83
     2,   0,   7,  92.89, 223.61,  92.66, 223.49
     2,   0,   6, 121.95, 223.09, 121.90, 223.07
     2,   0,   5, 153.22, 222.93, 153.25, 222.80
     2,   0,   4, 183.96, 223.47, 183.93, 223.20
     2,   0,   3, 215.86, 223.68, 215.88, 223.64
     2,   0,   2, 246.98, 225.34, 247.06, 225.26
     2,   0,   1, 280.12, 226.19, 280.30, 226.40
     2,   0,   0, 311.77, 228.31, 311.51, 228.59
     3,   6,   9,  25.70,  30.23,  25.85,  30.25
     3,   6,   8,  59.17,  31.07,  59.15,  31.30
     3,   6,   7,  90.73,  32.08,  90.93,  31.90
     3,   6,   6, 122.40,  32.33, 122.52,  32.46
     3,   6,   5, 152.55,  32.54, 152.50,  32.62
     3,   6,   4, 183.87,  32.66, 183.84,  32.60
     3,   6,   3, 214.26,  32.62, 214.30,  32.60
     3,   6,   2, 246.49,  32.01, 246.48,  32.03
